sample_id,dataset_name,stage,router_layer_index,router_module_name,expert_id,assigned_tokens,total_tokens,load_fraction,expert_capacity,overflow_tokens
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,0,3,64,0.046875,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,1,9,64,0.140625,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,2,5,64,0.078125,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,3,15,64,0.234375,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,4,5,64,0.078125,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,5,5,64,0.078125,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,6,14,64,0.21875,64,0
0,mbpp,decoder,1,decoder.block.1.layer.2.mlp.router,7,8,64,0.125,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,0,4,64,0.0625,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,1,20,64,0.3125,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,2,10,64,0.15625,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,3,0,64,0.0,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,4,12,64,0.1875,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,5,6,64,0.09375,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,6,5,64,0.078125,64,0
0,mbpp,decoder,11,decoder.block.11.layer.2.mlp.router,7,7,64,0.109375,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,0,11,64,0.171875,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,1,7,64,0.109375,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,2,5,64,0.078125,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,3,17,64,0.265625,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,4,3,64,0.046875,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,5,8,64,0.125,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,6,4,64,0.0625,64,0
0,mbpp,decoder,3,decoder.block.3.layer.2.mlp.router,7,9,64,0.140625,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,0,4,64,0.0625,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,1,9,64,0.140625,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,2,16,64,0.25,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,3,13,64,0.203125,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,4,2,64,0.03125,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,5,13,64,0.203125,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,6,5,64,0.078125,64,0
0,mbpp,decoder,5,decoder.block.5.layer.2.mlp.router,7,2,64,0.03125,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,0,3,64,0.046875,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,1,1,64,0.015625,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,2,9,64,0.140625,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,3,16,64,0.25,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,4,1,64,0.015625,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,5,6,64,0.09375,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,6,9,64,0.140625,64,0
0,mbpp,decoder,7,decoder.block.7.layer.2.mlp.router,7,19,64,0.296875,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,0,11,64,0.171875,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,1,24,64,0.375,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,2,6,64,0.09375,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,3,9,64,0.140625,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,4,8,64,0.125,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,5,1,64,0.015625,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,6,5,64,0.078125,64,0
0,mbpp,decoder,9,decoder.block.9.layer.2.mlp.router,7,0,64,0.0,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,0,10,64,0.15625,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,1,9,64,0.140625,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,2,13,64,0.203125,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,3,5,64,0.078125,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,4,6,64,0.09375,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,5,7,64,0.109375,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,6,8,64,0.125,64,0
0,mbpp,encoder,1,encoder.block.1.layer.1.mlp.router,7,6,64,0.09375,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,0,0,64,0.0,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,1,6,64,0.09375,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,2,3,64,0.046875,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,3,6,64,0.09375,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,4,30,64,0.46875,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,5,2,64,0.03125,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,6,0,64,0.0,64,0
0,mbpp,encoder,11,encoder.block.11.layer.1.mlp.router,7,17,64,0.265625,64,0
0,mbpp,encoder,3,encoder.block.3.layer.1.mlp.router,0,12,64,0.1875,64,0
0,mbpp,encoder,3,encoder.block.3.layer.1.mlp.router,1,6,64,0.09375,64,0
0,mbpp,encoder,3,encoder.block.3.layer.1.mlp.router,2,3,64,0.046875,64,0
0,mbpp,encoder,3,encoder.block.3.layer.1.mlp.router,3,9,64,0.140625,64,0
