completed_at_utc	experiment_id	runtime_class	run_dir	status
2026-08-11T13:59:35.871626+00:00	CTRL-P0-128-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T135906Z__CTRL-P0-128-clean	PASS
2026-08-11T14:00:03.730820+00:00	CTRL-P0-128-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T135935Z__CTRL-P0-128-routing	PASS
2026-08-11T14:00:33.313118+00:00	CTRL-P0-128-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140003Z__CTRL-P0-128-telemetry	PASS
2026-08-11T14:01:06.278755+00:00	CTRL-P0-2048-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140033Z__CTRL-P0-2048-clean	PASS
2026-08-11T14:01:34.772219+00:00	CTRL-P0-2048-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140106Z__CTRL-P0-2048-routing	PASS
2026-08-11T14:02:03.261217+00:00	CTRL-P0-2048-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140134Z__CTRL-P0-2048-telemetry	PASS
2026-08-11T14:02:46.678215+00:00	CTRL-P0-8192-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140203Z__CTRL-P0-8192-clean	PASS
2026-08-11T14:03:17.848931+00:00	CTRL-P0-8192-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140246Z__CTRL-P0-8192-routing	PASS
2026-08-11T14:03:49.023756+00:00	CTRL-P0-8192-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140317Z__CTRL-P0-8192-telemetry	PASS
2026-08-11T14:04:49.367830+00:00	CTRL-P0-16384-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140349Z__CTRL-P0-16384-clean	PASS
2026-08-11T14:05:24.184948+00:00	CTRL-P0-16384-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140449Z__CTRL-P0-16384-routing	PASS
2026-08-11T14:05:58.930768+00:00	CTRL-P0-16384-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140524Z__CTRL-P0-16384-telemetry	PASS
2026-08-11T14:06:29.244601+00:00	CTRL-P1-512-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140559Z__CTRL-P1-512-clean	PASS
2026-08-11T14:06:57.147429+00:00	CTRL-P1-512-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140629Z__CTRL-P1-512-routing	PASS
2026-08-11T14:07:24.980278+00:00	CTRL-P1-512-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140657Z__CTRL-P1-512-telemetry	PASS
2026-08-11T14:08:01.451179+00:00	CTRL-P1-4096-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140725Z__CTRL-P1-4096-clean	PASS
2026-08-11T14:08:31.049215+00:00	CTRL-P1-4096-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140801Z__CTRL-P1-4096-routing	PASS
2026-08-11T14:09:00.429779+00:00	CTRL-P1-4096-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140831Z__CTRL-P1-4096-telemetry	PASS
2026-08-11T14:09:51.219864+00:00	CTRL-P1-12288-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140900Z__CTRL-P1-12288-clean	PASS
2026-08-11T14:10:24.280460+00:00	CTRL-P1-12288-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T140951Z__CTRL-P1-12288-routing	PASS
2026-08-11T14:10:57.429971+00:00	CTRL-P1-12288-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141024Z__CTRL-P1-12288-telemetry	PASS
2026-08-11T14:12:19.011704+00:00	CTRL-P1-28672-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141057Z__CTRL-P1-28672-clean	PASS
2026-08-11T14:12:59.555613+00:00	CTRL-P1-28672-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141219Z__CTRL-P1-28672-routing	PASS
2026-08-11T14:13:40.174897+00:00	CTRL-P1-28672-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141259Z__CTRL-P1-28672-telemetry	PASS
2026-08-11T14:14:10.561377+00:00	CTRL-DEC0-512x32-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141340Z__CTRL-DEC0-512x32-clean	PASS
2026-08-11T14:14:38.338232+00:00	CTRL-DEC0-512x32-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141410Z__CTRL-DEC0-512x32-routing	PASS
2026-08-11T14:15:06.213980+00:00	CTRL-DEC0-512x32-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141438Z__CTRL-DEC0-512x32-telemetry	PASS
2026-08-11T14:15:43.879164+00:00	CTRL-DEC0-512x128-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141506Z__CTRL-DEC0-512x128-clean	PASS
2026-08-11T14:16:13.718013+00:00	CTRL-DEC0-512x128-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141543Z__CTRL-DEC0-512x128-routing	PASS
2026-08-11T14:16:43.545504+00:00	CTRL-DEC0-512x128-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141613Z__CTRL-DEC0-512x128-telemetry	PASS
2026-08-11T14:17:52.090258+00:00	CTRL-DEC0-512x512-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141643Z__CTRL-DEC0-512x512-clean	PASS
2026-08-11T14:18:29.883300+00:00	CTRL-DEC0-512x512-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141752Z__CTRL-DEC0-512x512-routing	PASS
2026-08-11T14:19:06.991130+00:00	CTRL-DEC0-512x512-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141829Z__CTRL-DEC0-512x512-telemetry	PASS
2026-08-11T14:19:39.945288+00:00	CTRL-DEC1-512x64-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141907Z__CTRL-DEC1-512x64-clean	PASS
2026-08-11T14:20:08.611051+00:00	CTRL-DEC1-512x64-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T141940Z__CTRL-DEC1-512x64-routing	PASS
2026-08-11T14:20:37.151165+00:00	CTRL-DEC1-512x64-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142008Z__CTRL-DEC1-512x64-telemetry	PASS
2026-08-11T14:21:25.072090+00:00	CTRL-DEC1-512x256-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142037Z__CTRL-DEC1-512x256-clean	PASS
2026-08-11T14:21:57.896407+00:00	CTRL-DEC1-512x256-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142125Z__CTRL-DEC1-512x256-routing	PASS
2026-08-11T14:22:30.032866+00:00	CTRL-DEC1-512x256-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142157Z__CTRL-DEC1-512x256-telemetry	PASS
2026-08-11T14:24:20.093530+00:00	CTRL-DEC1-512x1024-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142230Z__CTRL-DEC1-512x1024-clean	PASS
2026-08-11T14:25:08.264228+00:00	CTRL-DEC1-512x1024-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142420Z__CTRL-DEC1-512x1024-routing	PASS
2026-08-11T14:25:55.237490+00:00	CTRL-DEC1-512x1024-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142508Z__CTRL-DEC1-512x1024-telemetry	PASS
2026-08-11T14:26:25.534840+00:00	CTRL-PX0-512x32-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142555Z__CTRL-PX0-512x32-clean	PASS
2026-08-11T14:26:53.487074+00:00	CTRL-PX0-512x32-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142625Z__CTRL-PX0-512x32-routing	PASS
2026-08-11T14:27:23.416997+00:00	CTRL-PX0-512x32-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142653Z__CTRL-PX0-512x32-telemetry	PASS
2026-08-11T14:28:11.619159+00:00	CTRL-PX0-512x256-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142723Z__CTRL-PX0-512x256-clean	PASS
2026-08-11T14:28:43.988203+00:00	CTRL-PX0-512x256-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142811Z__CTRL-PX0-512x256-routing	PASS
2026-08-11T14:29:16.364111+00:00	CTRL-PX0-512x256-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142844Z__CTRL-PX0-512x256-telemetry	PASS
2026-08-11T14:31:02.466341+00:00	CTRL-PX0-512x1024-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T142916Z__CTRL-PX0-512x1024-clean	PASS
2026-08-11T14:31:51.602931+00:00	CTRL-PX0-512x1024-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143102Z__CTRL-PX0-512x1024-routing	PASS
2026-08-11T14:32:39.363592+00:00	CTRL-PX0-512x1024-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143151Z__CTRL-PX0-512x1024-telemetry	PASS
2026-08-11T14:33:15.618609+00:00	CTRL-PX0-4096x32-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143239Z__CTRL-PX0-4096x32-clean	PASS
2026-08-11T14:33:44.969050+00:00	CTRL-PX0-4096x32-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143315Z__CTRL-PX0-4096x32-routing	PASS
2026-08-11T14:34:14.311588+00:00	CTRL-PX0-4096x32-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143345Z__CTRL-PX0-4096x32-telemetry	PASS
2026-08-11T14:35:08.046158+00:00	CTRL-PX0-4096x256-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143414Z__CTRL-PX0-4096x256-clean	PASS
2026-08-11T14:35:42.129039+00:00	CTRL-PX0-4096x256-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143508Z__CTRL-PX0-4096x256-routing	PASS
2026-08-11T14:36:16.072261+00:00	CTRL-PX0-4096x256-telemetry	TELEMETRY	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143542Z__CTRL-PX0-4096x256-telemetry	PASS
2026-08-11T14:38:09.719293+00:00	CTRL-PX0-4096x1024-clean	CLEAN	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143616Z__CTRL-PX0-4096x1024-clean	PASS
2026-08-11T14:38:59.302291+00:00	CTRL-PX0-4096x1024-routing	ROUTING	/vault/flow/moe_simulator_phase7/real_campaign/runs/20260811T143809Z__CTRL-PX0-4096x1024-routing	PASS
