-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        7.354s       103.69%        7.354s     116.726ms           0 B           0 B           0 B           0 B            63  
                                      vllm::moe_forward         5.36%     397.209ms         8.29%     614.922ms     300.255us        6.540s        92.22%        6.554s       3.200ms           0 B           0 B       3.96 GB     -83.15 GB          2048  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        4.974s        70.13%        4.974s       2.429ms           0 B           0 B           0 B           0 B          2048  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us        1.547s        21.81%        1.547s     755.243us           0 B           0 B           0 B           0 B          2048  
                                _vllm_fa2_C::varlen_fwd         0.24%      18.149ms         1.30%      96.239ms      46.992us     333.894ms         4.71%     334.213ms     163.190us           0 B           0 B      63.34 MB           0 B          2048  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     333.894ms         4.71%     333.894ms     163.034us           0 B           0 B           0 B           0 B          2048  
                                               aten::mm         1.72%     127.743ms         4.38%     324.883ms      52.333us     184.247ms         2.60%     186.633ms      30.063us           0 B           0 B      11.88 GB      11.88 GB          6208  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      95.333ms         1.34%      95.333ms      47.288us           0 B           0 B           0 B           0 B          2016  
                  execute_context_1(87)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us      73.175ms         1.03%      73.175ms      73.175ms           0 B           0 B           0 B           0 B             1  
