-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        7.330s        95.36%        7.330s     116.346ms           0 B           0 B           0 B           0 B            63  
                                      vllm::moe_forward         6.96%     579.173ms        10.84%     902.500ms     293.783us        7.000s        91.07%        7.017s       2.284ms           0 B           0 B       3.97 GB     -83.28 GB          3072  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        5.268s        68.54%        5.268s       1.715ms           0 B           0 B           0 B           0 B          3072  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us        1.705s        22.19%        1.705s     555.136us           0 B           0 B           0 B           0 B          3072  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     942.238ms        12.26%     942.238ms      29.445ms           0 B           0 B           0 B           0 B            32  
                                _vllm_fa2_C::varlen_fwd         0.48%      40.187ms         2.92%     243.378ms      79.225us     387.656ms         5.04%     388.658ms     126.516us           0 B           0 B      63.84 MB    -701.50 MB          3072  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us     333.057ms         4.33%     333.057ms     162.625us           0 B           0 B           0 B           0 B          2048  
                                               aten::mm         2.20%     182.989ms         5.08%     423.199ms      45.447us     250.525ms         3.26%     253.297ms      27.201us           0 B           0 B      11.90 GB      11.90 GB          9312  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      95.080ms         1.24%      95.080ms      47.163us           0 B           0 B           0 B           0 B          2016  
