-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_1(28)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     356.380ms       611.68%     356.380ms     356.380ms           0 B           0 B           0 B           0 B             1  
                                      vllm::moe_forward         1.75%       6.265ms         2.66%       9.548ms     298.382us      55.369ms        95.03%      55.456ms       1.733ms           0 B           0 B       7.00 MB    -147.19 MB            32  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us      36.397ms        62.47%      36.397ms       1.137ms           0 B           0 B           0 B           0 B            32  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us      18.741ms        32.17%      18.741ms     585.654us           0 B           0 B           0 B           0 B            32  
                                               aten::mm         0.62%       2.210ms         0.92%       3.290ms      33.922us       2.271ms         3.90%       2.333ms      24.052us           0 B           0 B      17.58 MB      17.58 MB            97  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.065ms         1.83%       1.065ms      33.270us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     782.515us         1.34%     782.515us      24.454us           0 B           0 B           0 B           0 B            32  
void cublasLt::splitKreduce_kernel<32, 16, int, __nv...         0.00%       0.000us         0.00%       0.000us       0.000us     201.945us         0.35%     201.945us       2.104us           0 B           0 B           0 B           0 B            96  
                                _vllm_fa2_C::varlen_fwd         0.09%     321.167us        10.16%      36.420ms       1.138ms     190.459us         0.33%     200.379us       6.262us           0 B           0 B     112.00 KB           0 B            32  
