-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  execute_context_1(28)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     362.196ms       480.77%     362.196ms     362.196ms           0 B           0 B           0 B           0 B             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     103.690ms       137.64%     103.690ms     103.690ms           0 B           0 B           0 B           0 B             1  
                                      vllm::moe_forward         2.66%      12.471ms         4.05%      18.951ms     296.116us      69.731ms        92.56%      69.905ms       1.092ms           0 B           0 B       7.25 MB    -152.58 MB            64  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us      45.588ms        60.51%      45.588ms     712.314us           0 B           0 B           0 B           0 B            64  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us      23.717ms        31.48%      23.717ms     370.574us           0 B           0 B           0 B           0 B            64  
                                               aten::mm         0.85%       3.989ms         1.23%       5.756ms      29.672us       4.359ms         5.79%       4.421ms      22.786us           0 B           0 B      18.28 MB      18.28 MB           194  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       1.066ms         1.42%       1.066ms      33.317us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us       1.057ms         1.40%       1.057ms      33.036us           0 B           0 B           0 B           0 B            32  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     783.083us         1.04%     783.083us      24.471us           0 B           0 B           0 B           0 B            32  
