-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     912.624ms       155.54%     912.624ms      29.439ms           0 B           0 B           0 B           0 B            31  
                                      vllm::moe_forward        15.43%     195.967ms        23.89%     303.434ms     296.323us     499.901ms        85.20%     503.598ms     491.795us           0 B           0 B      14.75 MB    -314.30 MB          1024  
                  execute_context_1(28)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     359.356ms        61.24%     359.356ms     359.356ms           0 B           0 B           0 B           0 B             1  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     321.071ms        54.72%     321.071ms     313.545us           0 B           0 B           0 B           0 B          1024  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     172.533ms        29.40%     172.533ms     168.489us           0 B           0 B           0 B           0 B          1024  
                                               aten::mm         4.58%      58.189ms         6.35%      80.652ms      25.983us      66.874ms        11.40%      66.935ms      21.564us           0 B           0 B      39.33 MB      39.33 MB          3104  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      32.746ms         5.58%      32.746ms      33.010us           0 B           0 B           0 B           0 B           992  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      23.462ms         4.00%      23.462ms      23.652us           0 B           0 B           0 B           0 B           992  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       8.556ms         1.46%       8.556ms       8.355us           0 B           0 B           0 B           0 B          1024  
