-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       13.270s       102.40%       13.270s     118.482ms           0 B           0 B           0 B           0 B           112  
                                      vllm::moe_forward         5.22%     697.225ms         8.31%        1.109s     306.830us       11.559s        89.19%       11.572s       3.200ms           0 B           0 B       7.00 GB    -147.06 GB          3616  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        8.814s        68.01%        8.814s       2.437ms           0 B           0 B           0 B           0 B          3616  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us        2.710s        20.92%        2.710s     749.574us           0 B           0 B           0 B           0 B          3616  
                                _vllm_fa2_C::varlen_fwd         0.24%      32.184ms         1.55%     207.190ms      57.298us        1.015s         7.83%        1.015s     280.784us           0 B           0 B     112.02 MB     -22.94 MB          3616  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        1.012s         7.81%        1.012s     282.444us           0 B           0 B           0 B           0 B          3584  
                                               aten::mm         1.68%     224.332ms         5.32%     710.381ms      64.810us     324.914ms         2.51%     331.103ms      30.207us           0 B           0 B      21.02 GB      21.02 GB         10961  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     169.361ms         1.31%     169.361ms      47.255us           0 B           0 B           0 B           0 B          3584  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     115.526ms         0.89%     115.526ms      32.234us           0 B           0 B           0 B           0 B          3584  
