-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       13.275s        97.98%       13.275s     118.523ms           0 B           0 B           0 B           0 B           112  
                                      vllm::moe_forward         6.13%     868.168ms         9.72%        1.376s     300.747us       11.989s        88.49%       12.018s       2.626ms           0 B           0 B       7.01 GB    -147.18 GB          4576  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        9.089s        67.09%        9.089s       1.986ms           0 B           0 B           0 B           0 B          4576  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us        2.859s        21.11%        2.859s     624.877us           0 B           0 B           0 B           0 B          4576  
                                _vllm_fa2_C::varlen_fwd         0.37%      52.305ms         1.96%     277.714ms      60.689us        1.097s         8.10%        1.098s     240.032us           0 B           0 B     112.48 MB    -711.06 MB          4576  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us        1.012s         7.47%        1.012s     282.500us           0 B           0 B           0 B           0 B          3584  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     919.183ms         6.78%     919.183ms      29.651ms           0 B           0 B           0 B           0 B            31  
                                               aten::mm         1.95%     276.890ms         5.81%     823.089ms      59.339us     387.697ms         2.86%     394.512ms      28.441us           0 B           0 B      21.04 GB      21.04 GB         13871  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us     169.387ms         1.25%     169.387ms      47.262us           0 B           0 B           0 B           0 B          3584  
