-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     741.922ms       166.57%     741.922ms     185.480ms           0 B           0 B           0 B           0 B             4  
                                      vllm::moe_forward         3.61%      30.569ms         5.53%      46.857ms     292.857us     426.823ms        95.83%     427.281ms       2.671ms           0 B           0 B     256.25 MB      -5.26 GB           160  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     323.655ms        72.67%     323.655ms       2.023ms           0 B           0 B           0 B           0 B           160  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us     104.852ms        23.54%     104.852ms     104.852ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     101.765ms        22.85%     101.765ms     636.031us           0 B           0 B           0 B           0 B           160  
                                               aten::mm         1.18%      10.039ms         2.16%      18.284ms      37.699us      13.645ms         3.06%      13.711ms      28.270us           0 B           0 B     769.45 MB     769.45 MB           485  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       6.043ms         1.36%       6.043ms      47.209us           0 B           0 B           0 B           0 B           128  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       4.165ms         0.94%       4.165ms      32.538us           0 B           0 B           0 B           0 B           128  
                                _vllm_fa2_C::varlen_fwd         0.22%       1.877ms        15.03%     127.395ms     796.218us       2.384ms         0.54%       2.457ms      15.353us           0 B           0 B       4.02 MB      -4.80 MB           160  
