-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.574s       128.01%        2.574s      27.983ms           0 B           0 B           0 B           0 B            92  
                                      vllm::moe_forward        17.66%     582.119ms        27.31%     900.181ms     293.028us        1.731s        86.07%        1.740s     566.486us           0 B           0 B     279.00 MB      -5.74 GB          3072  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.160s        57.69%        1.160s     377.697us           0 B           0 B           0 B           0 B          3072  
                 execute_context_1(256)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     736.479ms        36.62%     736.479ms     184.120ms           0 B           0 B           0 B           0 B             4  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     552.523ms        27.47%     552.523ms     179.858us           0 B           0 B           0 B           0 B          3072  
                                               aten::mm         5.16%     170.209ms         7.28%     240.043ms      25.778us     202.890ms        10.09%     202.956ms      21.795us           0 B           0 B     833.30 MB     833.30 MB          9312  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us      96.915ms         4.82%      96.915ms      32.920us           0 B           0 B           0 B           0 B          2944  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      69.505ms         3.46%      69.505ms      23.609us           0 B           0 B           0 B           0 B          2944  
                                _vllm_fa2_C::varlen_fwd         1.90%      62.584ms        10.50%     346.097ms     112.662us      33.904ms         1.69%      36.338ms      11.829us           0 B           0 B       5.44 MB    -441.31 MB          3072  
