-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                               phase7_forward_step_id=0         0.00%       0.000us         0.00%       0.000us       0.000us     527.632ms       116.32%     527.632ms     527.632ms           0 B           0 B           0 B           0 B             1  
                                      vllm::moe_forward         1.78%      13.383ms         2.86%      21.505ms     336.021us     429.319ms        94.65%     429.684ms       6.714ms           0 B           0 B     512.00 MB     -10.51 GB            64  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     333.582ms        73.54%     333.582ms       5.212ms           0 B           0 B           0 B           0 B            64  
                               phase7_forward_step_id=1         0.00%       0.000us         0.00%       0.000us       0.000us     228.957ms        50.48%     228.957ms     228.957ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us      94.121ms        20.75%      94.121ms       1.471ms           0 B           0 B           0 B           0 B            64  
phase7_attention_step=0;layer=model.layers.0.self_at...         0.00%       0.000us         0.00%       0.000us       0.000us      37.891ms         8.35%      37.891ms      37.891ms           0 B           0 B           0 B           0 B             1  
                                               aten::mm         0.56%       4.238ms         0.86%       6.437ms      33.180us      17.102ms         3.77%      17.102ms      88.156us           0 B           0 B       1.25 GB       1.25 GB           194  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      10.129ms         2.23%      10.129ms     158.259us           0 B           0 B           0 B           0 B            64  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us       6.159ms         1.36%       6.159ms      96.231us           0 B           0 B           0 B           0 B            64  
