-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      vllm::moe_forward         4.96%      62.586ms         7.86%      99.191ms     344.412us     841.775ms        95.78%     842.942ms       2.927ms           0 B           0 B     512.25 MB     -10.51 GB           288  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     639.677ms        72.78%     639.677ms       2.221ms           0 B           0 B           0 B           0 B           288  
                               phase7_forward_step_id=0         0.00%       0.000us         0.00%       0.000us       0.000us     417.093ms        47.46%     417.093ms     417.093ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     199.470ms        22.70%     199.470ms     692.605us           0 B           0 B           0 B           0 B           288  
                               phase7_forward_step_id=5         0.00%       0.000us         0.00%       0.000us       0.000us     109.117ms        12.42%     109.117ms     109.117ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=6         0.00%       0.000us         0.00%       0.000us       0.000us     108.875ms        12.39%     108.875ms     108.875ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=3         0.00%       0.000us         0.00%       0.000us       0.000us     108.819ms        12.38%     108.819ms     108.819ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=7         0.00%       0.000us         0.00%       0.000us       0.000us     108.632ms        12.36%     108.632ms     108.632ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=4         0.00%       0.000us         0.00%       0.000us       0.000us     107.708ms        12.25%     107.708ms     107.708ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=8         0.00%       0.000us         0.00%       0.000us       0.000us     107.202ms        12.20%     107.202ms     107.202ms           0 B           0 B           0 B           0 B             1  
