-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        2.860s       123.26%        2.860s      30.107ms           0 B           0 B           0 B           0 B            95  
                                      vllm::moe_forward        17.25%     655.151ms        27.78%        1.055s     343.500us        1.960s        84.48%        1.972s     642.088us           0 B           0 B       1.02 GB     -21.51 GB          3072  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us        1.306s        56.29%        1.306s     425.166us           0 B           0 B           0 B           0 B          3072  
                execute_context_1(4096)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us     948.960ms        40.90%     948.960ms     948.960ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     632.587ms        27.26%     632.587ms     205.920us           0 B           0 B           0 B           0 B          3072  
                                               aten::mm         4.50%     170.950ms         6.35%     241.072ms      25.888us     227.297ms         9.80%     227.330ms      24.413us           0 B           0 B       2.57 GB       2.57 GB          9312  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     100.650ms         4.34%     100.650ms      33.108us           0 B           0 B           0 B           0 B          3040  
                                _vllm_fa2_C::varlen_fwd         1.76%      66.896ms         9.25%     351.429ms     114.397us      83.257ms         3.59%      86.860ms      28.275us           0 B           0 B      17.48 MB      -1.57 GB          3072  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      71.869ms         3.10%      71.869ms      23.641us           0 B           0 B           0 B           0 B          3040  
