-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      vllm::moe_forward         1.86%     638.928ms         2.97%        1.021s     332.199us       33.643s        98.94%       33.657s      10.956ms           0 B           0 B       1.02 GB     -21.51 GB          3072  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us       30.511s        89.73%       30.511s       9.932ms           0 B           0 B           0 B           0 B          3072  
                execute_context_1(4096)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us       23.877s        70.22%       23.877s       23.877s           0 B           0 B           0 B           0 B             1  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us       10.537s        30.99%       10.537s     110.918ms           0 B           0 B           0 B           0 B            95  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us        3.111s         9.15%        3.111s       1.013ms           0 B           0 B           0 B           0 B          3072  
                                               aten::mm         0.48%     164.824ms         0.67%     231.100ms      24.817us     227.107ms         0.67%     227.140ms      24.392us           0 B           0 B       2.57 GB       2.57 GB          9312  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     100.345ms         0.30%     100.345ms      33.008us           0 B           0 B           0 B           0 B          3040  
                                _vllm_fa2_C::varlen_fwd         0.19%      65.725ms         6.40%        2.199s     715.874us      83.624ms         0.25%      91.378ms      29.746us           0 B           0 B      17.48 MB      -1.57 GB          3072  
std::enable_if<true, void>::type internal::gemvx::ke...         0.00%       0.000us         0.00%       0.000us       0.000us      71.970ms         0.21%      71.970ms      23.674us           0 B           0 B           0 B           0 B          3040  
