-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      vllm::moe_forward         4.73%      59.045ms         7.50%      93.756ms     325.542us     842.255ms        95.78%     843.421ms       2.929ms           0 B           0 B     512.25 MB     -10.51 GB           288  
void fused_moe::run_global<fused_moe::Fused_Moe_Kern...         0.00%       0.000us         0.00%       0.000us       0.000us     640.209ms        72.80%     640.209ms       2.223ms           0 B           0 B           0 B           0 B           288  
                               phase7_forward_step_id=0         0.00%       0.000us         0.00%       0.000us       0.000us     406.355ms        46.21%     406.355ms     406.355ms           0 B           0 B           0 B           0 B             1  
_ZN7cutlass6KernelINS_4gemm6kernel9MoeFCGemmINS1_11t...         0.00%       0.000us         0.00%       0.000us       0.000us     199.418ms        22.68%     199.418ms     692.424us           0 B           0 B           0 B           0 B           288  
                               phase7_forward_step_id=6         0.00%       0.000us         0.00%       0.000us       0.000us     109.066ms        12.40%     109.066ms     109.066ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=5         0.00%       0.000us         0.00%       0.000us       0.000us     109.050ms        12.40%     109.050ms     109.050ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=3         0.00%       0.000us         0.00%       0.000us       0.000us     108.930ms        12.39%     108.930ms     108.930ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=7         0.00%       0.000us         0.00%       0.000us       0.000us     108.779ms        12.37%     108.779ms     108.779ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=4         0.00%       0.000us         0.00%       0.000us       0.000us     107.621ms        12.24%     107.621ms     107.621ms           0 B           0 B           0 B           0 B             1  
                               phase7_forward_step_id=2         0.00%       0.000us         0.00%       0.000us       0.000us     107.126ms        12.18%     107.126ms     107.126ms           0 B           0 B           0 B           0 B             1  
